epoch,step,test_acc,test_auroc,test_loss,test_map,train_acc,train_auroc,train_loss,train_map,val_acc,val_auroc,val_loss,val_map
0,4,,,,,,,,,0.0,0.5442845821380615,0.44767460227012634,0.20871023833751678
0,4,,,,,,0.5174535512924194,,0.20089899003505707,,,,
1,9,,,,,0.0,,0.4083055853843689,,,,,
1,9,,,,,,,,,0.0,0.5700897574424744,0.47116798162460327,0.20790933072566986
1,9,,,,,,0.5431810617446899,,0.2054862678050995,,,,
2,14,,,,,,,,,0.0,0.5860238075256348,0.4124643802642822,0.21113236248493195
2,14,,,,,,0.5880064368247986,,0.23435847461223602,,,,
3,19,,,,,0.0,,0.33553779125213623,,,,,
3,19,,,,,,,,,0.0555555559694767,0.6144983768463135,0.441463828086853,0.24901491403579712
3,19,,,,,,0.623720645904541,,0.26494336128234863,,,,
4,24,,,,,,,,,0.1388888955116272,0.6334028244018555,0.4056575894355774,0.2667447626590729
4,24,,,,,,0.660460352897644,,0.30385440587997437,,,,
5,29,,,,,0.1538461595773697,,0.2891060709953308,,,,,
5,29,,,,,,,,,0.1111111119389534,0.6496392488479614,0.39775383472442627,0.2954588532447815
5,29,,,,,,0.6887440085411072,,0.3467082381248474,,,,
6,34,,,,,,,,,0.1388888955116272,0.6632413268089294,0.4025411903858185,0.31253018975257874
6,34,,,,,,0.7135422825813293,,0.3839181065559387,,,,
7,39,,,,,0.5384615659713745,,0.23389826714992523,,,,,
7,39,,,,,,,,,0.1666666716337204,0.6726313233375549,0.40394875407218933,0.3264147937297821
7,39,,,,,,0.7330254912376404,,0.4158428907394409,,,,
8,44,,,,,,,,,0.1666666716337204,0.68165522813797,0.40611258149147034,0.3438076376914978
8,44,,,,,,0.7499613165855408,,0.4437441825866699,,,,
9,49,,,,,0.46153849363327026,,0.19981472194194794,,,,,
9,49,,,,,,,,,0.2222222238779068,0.6893264651298523,0.41695740818977356,0.3596396744251251
9,49,,,,,,0.764336347579956,,0.46940070390701294,,,,
10,54,,,,,,,,,0.1666666716337204,0.6952524781227112,0.4054487943649292,0.37218743562698364
10,54,,,,,,0.777622401714325,,0.4934333562850952,,,,
11,55,0.08888889104127884,0.6716519594192505,0.4298137128353119,0.3736063539981842,,,,,,,,
