,Scales,Arpeggios,Ornaments,Repeated notes,Double notes,Octave,Staccato
Scales,8,0,0,0,0,0,0
Arpeggios,7,0,0,0,0,0,0
Ornaments,6,0,0,0,0,0,0
Repeated notes,5,0,0,0,0,0,0
Double notes,5,0,0,0,0,0,0
Octave,6,0,0,0,0,0,0
Staccato,3,0,0,0,0,0,0
